boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance
6;22;19;5;9;5
31;36;9;33;18;2
26;24;49;32;2;5
33;22;44;6;35;2
4;31;49;8;39;9
11;5;25;23;33;5
46;41;38;19;16;9
33;42;27;46;32;7
28;19;49;23;17;7
23;49;5;13;32;2
16;46;12;21;24;2
24;48;20;29;45;3
37;35;31;44;14;7
22;15;19;24;46;3
14;23;21;47;3;3
7;16;17;4;11;10
23;15;38;21;39;4
13;45;4;40;31;3
28;18;22;37;19;2
7;11;5;32;33;5
35;11;13;4;34;1
6;1;39;48;40;6
5;41;3;42;15;7
17;47;30;3;44;3
28;38;2;1;11;6
35;42;49;4;6;9
46;32;22;15;17;8
43;48;42;23;30;7
17;18;25;38;9;9
47;46;7;19;39;5
19;24;45;15;25;3
18;10;6;15;48;4
4;28;38;20;18;1
8;42;22;28;26;2
11;42;22;34;43;4
6;12;4;35;44;3
24;3;35;46;2;8
32;6;35;28;40;7
30;48;37;9;26;8
2;11;42;30;35;6
23;13;27;44;36;6
44;47;5;13;14;8
21;29;20;47;46;7
1;39;2;6;27;4
36;8;31;34;17;7
9;36;5;21;39;5
8;24;33;38;14;5
26;13;10;20;46;1
22;49;26;2;47;2
25;32;6;5;28;4
47;36;20;11;9;2
8;22;26;46;2;1
14;7;43;44;29;5
12;13;26;44;16;6
24;26;2;36;32;7
5;14;42;44;16;9
29;6;12;44;31;6
9;26;30;42;36;4
22;28;3;23;29;2
45;14;39;20;47;8
20;30;35;14;10;9
26;27;41;46;19;4
43;4;17;38;49;8
34;5;33;3;17;10
48;39;29;47;35;7
48;36;14;15;10;3
39;8;9;33;15;10
43;22;12;30;9;4
25;29;47;5;7;1
41;11;19;29;14;9
49;6;24;13;10;3
28;30;43;40;41;7
37;5;9;7;41;6
45;1;33;47;27;8
16;1;31;48;3;6
42;1;19;23;17;9
8;43;1;48;41;7
16;9;19;26;6;9
23;29;18;35;7;4
40;2;35;39;42;9
41;48;42;28;3;6
21;37;12;17;23;7
35;23;26;32;22;5
40;45;24;32;34;1
28;49;5;48;21;2
16;37;8;7;42;8
48;10;46;28;29;9
44;16;4;40;23;3
28;41;38;31;43;10
38;45;5;14;46;1
26;41;5;33;42;7
5;35;37;4;24;2
10;17;33;30;49;4
42;26;21;39;40;5
37;24;19;10;5;6
20;6;30;32;45;4
20;15;27;9;47;7
4;39;26;5;24;4
40;16;21;41;46;2
44;39;7;41;19;1
48;4;25;5;45;7
47;38;17;30;43;5
15;49;37;25;38;8
47;31;12;45;7;10
30;21;6;11;29;4
49;20;7;31;33;4
36;25;22;21;16;9
31;30;6;14;45;8
27;12;10;7;41;1
36;17;30;7;11;5
25;28;42;26;12;10
13;38;31;30;26;1
12;1;33;13;2;9
35;19;8;22;46;2
16;11;25;32;14;9
48;14;2;23;13;3
17;44;29;16;37;8
49;10;19;26;30;3
22;9;43;31;34;5
11;7;32;24;4;10
12;38;34;32;48;6
24;48;49;18;8;8
36;40;45;24;15;9
37;36;32;20;7;2
48;23;27;19;22;2
23;6;17;5;7;9
38;26;39;35;10;6
3;48;17;4;38;9
25;33;48;1;40;8
1;34;15;24;25;8
40;29;44;38;10;8
8;30;26;35;40;2
39;28;14;11;42;9
7;25;17;48;16;3
44;2;15;29;18;4
44;41;35;33;38;8
4;27;28;9;22;4
22;23;7;30;37;3
31;44;6;15;12;7
10;49;30;12;29;9
22;13;10;35;19;1
28;14;27;13;25;5
26;24;6;18;29;3
43;27;23;44;42;10
16;9;42;1;39;7
